                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     60,                 1.6918,                 1.2942,                 1.9252,                0.94687,                0.74283,                  0.869,                0.46732,                 1.6347,                 1.1113,                 1.7185,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.6522,                 1.2683,                 1.8902,                      1,                0.67109,                0.79901,                0.47475,                 1.6325,                 1.1456,                 1.7225,               0.000812,               0.000812,               0.000812
                     62,                 1.7299,                  1.295,                 1.8913,                0.81633,                0.74107,                0.82827,                0.46607,                 1.6308,                 1.2209,                 1.7427,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.7364,                 1.3101,                 1.9598,                0.89401,                0.70315,                0.77251,                0.37595,                  1.814,                 1.2392,                  1.922,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.6847,                 1.2966,                 1.9148,                0.88263,                   0.75,                0.79521,                0.37535,                 1.7968,                 1.2824,                 1.9712,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.6827,                 1.2568,                 1.9603,                0.89263,                0.79167,                0.79792,                0.38104,                 1.7446,                  1.315,                 1.8901,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.7412,                 1.3283,                 1.9422,                0.85407,                0.73207,                0.82826,                0.36658,                 1.7739,                 1.2961,                 1.8453,               0.000713,               0.000713,               0.000713
                     67,                 1.6922,                 1.2769,                 1.9174,                0.84845,                0.70014,                0.81841,                0.43733,                 1.6402,                 1.2262,                 1.7242,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.7317,                 1.2674,                 1.9182,                0.85769,                0.66667,                0.81698,                0.46469,                 1.6251,                 1.2031,                 1.7225,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.6781,                 1.2476,                 1.8414,                0.82887,                0.70833,                0.83178,                0.44957,                 1.6242,                 1.1403,                 1.7517,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.6848,                  1.292,                 1.9644,                0.84298,                0.70833,                0.80037,                0.47278,                 1.5784,                 1.1319,                 1.7442,              0.0006338,              0.0006338,              0.0006338
                     71,                 1.6294,                  1.253,                 1.8253,                0.78798,                0.70833,                 0.8184,                0.45276,                 1.7343,                 1.1868,                 1.8121,               0.000614,               0.000614,               0.000614
                     72,                 1.6295,                 1.1737,                 1.8442,                0.81542,                0.79167,                0.81875,                0.45034,                 1.6042,                 1.1489,                 1.7609,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.6579,                 1.2642,                 1.8315,                0.75006,                0.75024,                0.84199,                0.42739,                 1.7037,                  1.183,                 1.8204,              0.0005744,              0.0005744,              0.0005744
                     74,                 1.5776,                 1.2057,                 1.8551,                0.80056,                   0.75,                0.83103,                0.42139,                 1.6975,                 1.2143,                 1.7956,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.7188,                 1.2505,                 1.9527,                 0.9468,                0.74187,                0.82254,                0.43833,                 1.7302,                 1.2161,                 1.7689,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.5806,                 1.1826,                 1.8308,                0.89508,                0.66667,                0.78948,                0.41293,                 1.6982,                 1.1669,                 1.7909,               0.000515,               0.000515,               0.000515
                     77,                 1.6521,                 1.1859,                 1.8771,                0.89515,                0.79167,                0.87692,                0.43595,                 1.5986,                 1.0965,                  1.743,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.5923,                  1.166,                 1.8034,                0.87893,                   0.75,                0.86339,                0.48954,                 1.6419,                  1.058,                 1.7956,              0.0004754,              0.0004754,              0.0004754
